# BEAST v1.8.2, r6692
# Generated Wed Oct 12 03:32:48 PDT 2016 [seed=1476166525953]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates
75000	-1056.9876160546676	-1163.290063543756	-106.30244748908846	1.0	-1163.290063543756	0.002898971866171747	0.9175909814313435	1.9833511702970694	2.668635508616944	1.2824590386570531	1.7881984778073827	1.0013077482970338	0.5422685124536893	0.6445139305523166	2.208172664724822	0.8616559229454056	0.513093182065877	0.6342422311020414	0.3826436988735675	0.6281020832315773	0.3906328578173593	1.0274018163616108	2.0049608801111254	0.32229528957330056	0.04188982931107943	0.815039113971423	0.2314153381329205	1.604714086866506	0.8200393953924727	0.3196049742429559	0.8285506404140849	0.9299908353317462	0.4976961565523069	0.6918354951009666	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
80000	-1061.7817074470126	-1171.1939280990416	-109.41222065202898	1.0	-1171.1939280990416	0.003612434493901073	0.7028556542259135	1.6595827457468995	2.7581287060827924	0.7884641800816885	1.579850430948682	1.7060481635659492	0.31907657911012255	0.7341153287123303	2.1310586357769394	1.4209159807712906	0.8294026375047809	0.17015817954641535	0.06975630057721477	0.7822783521455593	0.4629309292739004	1.4459344387984552	1.9955426798325309	0.1795489103663687	0.008773941356589526	3.178180301178871	0.02996715379989482	1.0634170526775168	0.23704863658951705	1.5952925337717703	1.024268536135883	1.029993348489682	0.3418415736517457	2.009729749950519	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
85000	-1061.9410593746222	-1173.7377539016388	-111.79669452701658	1.0	-1173.7377539016388	0.003639672033714451	0.37113957296234323	3.056594015168783	1.1535716894409016	1.5922899226749427	0.37463975881973266	0.23942885620131074	0.23085987308713166	1.0842397743720877	3.38853427635611	1.8842498435357689	0.9944805757962577	0.17847261693595665	0.4271717433889353	1.1449636747545113	0.957569559891276	1.6484723371955492	2.102510024378954	0.657701373852536	0.4941877487367039	1.1092472041160555	0.09876479422660517	0.24497117285051326	0.09590336578233657	1.1617198624015155	1.7241823893674502	0.9983296136365707	2.170647402101075	0.9492418775896005	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
90000	-1053.0063710046911	-1166.9613396021487	-113.95496859745754	1.0	-1166.9613396021487	0.003192186154419013	0.294211834953884	1.742901879313862	2.6201946286023508	1.6053652833718286	0.37246469816013	0.25144986265275354	0.7375543378868552	0.46660351681811735	1.6988398614916502	0.2027979437826323	0.4351757988585245	0.8796721606544164	1.4280950387325873	0.5163801640075928	0.32136812239945545	1.3255514022570323	1.49968062612492	0.12126284314047318	0.529137771187837	0.5329110109238867	0.03212444256239519	0.21364803926094997	0.11137930021716547	4.100969106423678	1.089994213366047	1.0288988116174616	2.2496714793759596	0.9523309889183438	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	11.0
95000	-1059.278471115005	-1170.786435600258	-111.50796448525317	1.0	-1170.786435600258	0.0030890596570454635	1.3029940792969648	3.781906534698649	0.31766229502065396	3.0132380260850447	0.2771176562040167	0.5246090397169978	0.5485643088854797	0.7926451322678886	0.9863245203948371	0.027094772097447605	0.8826875495235856	2.568117271448899	1.4353768395679225	0.7720664336616454	0.7278977064254072	2.3037529728378976	2.095416932245472	0.6280250824828993	0.007827989963524533	1.0211088884237207	0.26926610868805384	0.24310220695012852	0.2088061557194453	0.6245654101517134	0.5378525692155524	2.5739860392869893	0.2116934590318222	0.2105199257231854	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
100000	-1056.0969967142246	-1170.799835147629	-114.70283843340442	1.0	-1170.799835147629	0.0030172467288115947	2.411314811616372	3.354667758311544	0.47834837262538715	1.4367406550844153	0.45713207066535116	0.38036536382007596	0.8122669377217293	1.542580623252437	0.2245583588745519	0.26861151853000914	0.1331778960659758	2.145318403680847	4.173644726396577	1.043870224946773	1.3119447881220723	2.287967658426341	2.7124679054160707	0.6700184279540815	0.15451148851805355	0.24026130136111112	0.23997799506087272	1.2879411156340435	0.146336869829656	0.6774220563089906	0.6416248614956681	1.7598931387511203	0.18197866448350175	0.31602369531663776	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
105000	-1056.3674645624556	-1179.9145197839907	-123.54705522153525	1.0	-1179.9145197839907	0.0029495365857224167	4.525491930366662	4.1390959031220245	1.7140102724739492	1.9447594072791683	0.3809857526049664	0.9757994298566268	0.6123178162584133	1.093422969753614	2.153166496098133	0.2932303062955635	1.5000847086435884	1.6577089035922292	0.503565806645032	1.932398945665726	1.0135545450857852	2.5187636615286255	3.0182634805631676	0.7286037716369445	0.4403989575977236	0.9470503374964769	0.42873201168198094	1.2568106290218828	0.25471232831262586	0.9390114911112976	1.0168251521122602	2.049364835950369	0.8206156896245161	0.5108232271632188	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
110000	-1065.2633648913215	-1164.5161366272825	-99.25277173596105	1.0	-1164.5161366272825	0.002335137267358124	0.41514449619808563	3.132606722129535	0.15022003263038397	0.16608006605508527	0.7052727291196189	0.6504682173168405	0.6411569722236585	1.3080895914359276	1.8764588537043654	0.09799297593430123	0.10980671661282765	0.22160490284532466	0.2832352083853787	1.0722358065585498	0.6484981801598534	2.0185539331174285	3.135673537668066	0.6293767874235747	0.15012826211355257	0.8372745011267101	0.24138013725856813	0.6211778928348564	0.7475912686867849	0.9399063797470906	0.7450037873890557	1.8222798543058074	2.0260090257871486	1.107365431793934	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0
115000	-1065.969865586031	-1164.2048871482752	-98.23502156224426	1.0	-1164.2048871482752	0.0028005671848599393	0.08996681984323532	2.409626895770682	0.019946918074370528	0.035554311085408026	2.205862499300877	0.4445215778180884	0.47691442761121094	0.6151196332124285	0.6886610230994117	0.15468511935602525	0.40884051583492104	0.2190684728272179	1.7297939248556586	0.9973941788850835	0.4629094885156196	1.7307638932084	2.121937367299668	0.478572201319836	0.4184005328849869	0.8863996163309457	0.28463079410822356	0.6932916478365814	0.2945801659547823	0.5040712020135122	1.705240016911209	1.2037838236024951	1.3537007782746195	1.433910894695508	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
120000	-1045.5470075487633	-1167.7504141245458	-122.20340657578254	1.0	-1167.7504141245458	0.0035937773657068496	0.16072134434503607	1.0996755533333256	0.024495421051775042	1.4366208450411824	1.0688408437633237	1.238281941251117	0.5141033982340878	0.4907296965832041	0.19958532033769083	0.7081070567997813	1.4391839066479484	0.8385813092565404	0.0892153701368532	0.4880263072764497	0.337549630735309	0.5547589606292809	1.1091618651567183	0.07757686283638701	3.1722311552694875	4.761543526055973	0.97904466775058	0.5290649449839887	0.10932932441570145	0.7309965713700501	2.3964213771500416	0.555666191701529	2.0353799782486	0.08173917273081885	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
