# BEAST v1.8.2, r6692
# Generated Wed Oct 12 01:52:07 PDT 2016 [seed=1476166797571]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood	geography.clock.rate.exp.mean	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates
25000	-1017.3029353749416	-1043.4517176678155	-26.14878229287389	1.0	-1043.4517176678155	0.014522824979551999	0.007734517479871695	0.2495314756876793	1.1753786500494607	1.339303736820192	0.841675859094804	0.30429380137345546	0.866784144265754	1.8104237157869365	0.32803762662219405	2.3013932262630403	1.9387791731271502	1.6572410921083758	3.3768232070799677	0.9200586350260946	0.3590784661923118	0.16071452018616084	0.4716525437710031	0.8548082648815605	0.33132245451833936	0.10560752715165415	0.30504196425790203	0.9997023845570631	2.241094961804206	0.35089055972801125	1.9878043281094784	0.29179089839786493	1.877897206681508	0.7210438002012571	0.7505618669405764	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0
30000	-1023.2415558993708	-1050.406441891055	-27.16488599168419	1.0	-1050.406441891055	0.003122693540471744	0.006292493005337118	0.5324718581988013	1.6595629564481174	0.7511281315552809	1.2417048169997742	2.0269863317974557	0.5014626016407797	2.157746652225282	0.34962064922629194	0.4780378076458597	0.43616309896533345	1.0407684249461473	0.7444057983371253	1.6681963901278958	0.6420505728067933	0.33907506462704273	0.6499965951764262	1.7364969258409835	0.053357866043699284	0.11206908992110257	3.1506322020606268	2.1108872598721815	1.3594778254280544	0.12663668319169724	1.6173046551737444	0.49345454574044667	2.409837640421667	0.8824689083211488	0.026443320900670413	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
35000	-1018.1051809497152	-1051.2487259302006	-33.14354498048549	1.0	-1051.2487259302006	0.09689419302445647	0.010556842670901347	1.0042784483497618	1.2323047860021503	0.9804960795004086	0.32135535739972465	1.2645521923006329	0.28927635115919564	2.8339297571100803	0.5288784839672945	0.2798372214968669	1.5056878733929664	1.7430468322580317	1.1917920074428725	0.5495981599109048	0.2219902322170638	0.17332568207245974	0.8626023800945145	0.9351047476036982	0.10901874128164722	0.11724715421527766	1.9592303997989233	2.374695968740416	1.641721336691985	0.5855216814570231	1.2264869181981906	0.36590542943394105	1.440436412171418	1.8780004066138707	0.6388860436956846	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	12.0
40000	-1019.3007496510062	-1047.7215362577367	-28.420786606730577	1.0	-1047.7215362577367	0.041843737954807045	0.00893617708602972	2.980927176566584	1.6309068061498075	1.1285603358659797	0.8546247565162516	1.3099351663694994	1.4431905951531256	2.109485769175324	0.6026683334130828	0.15933649737141634	1.2322662283202015	0.3659668147391806	1.5797873483867149	0.30418554163284434	0.2681132800416995	0.2406996617936485	0.7759157258954427	1.502592306611204	0.09279905254112654	0.24978114834331608	0.8179383390231909	0.8010952234083408	0.18388654986689468	1.121780836556208	0.6389912035122486	0.09109279358672295	2.446706088541645	1.5062674380353034	0.2513315009192308	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	11.0
45000	-1027.4110343094299	-1047.659446155102	-20.248411845672052	1.0	-1047.659446155102	0.004878890738954667	0.006880706849696936	0.40658355353611925	1.2921163635427328	0.5109149517866347	0.23138918065253875	1.3864384762745852	1.969220953750272	3.537100358278965	0.6942057739917236	0.06826275678253153	0.8257034714262624	1.074511672864433	2.9099186284734335	0.04407162723834341	0.5003830512680706	0.1862578918668488	0.7541176425191539	1.4628381982709533	0.5820141971423505	0.08372455311599483	0.6727347271454757	0.6116775837053204	1.1831153358665893	0.019700569830376467	0.17113888909347516	0.1264704987735017	1.770667653592014	0.38195677204208506	0.3244329367581961	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0
50000	-1022.3386521374426	-1045.0230575199269	-22.684405382484183	1.0	-1045.0230575199269	0.004863556836744895	0.006947722110755388	0.41892575995412895	1.3311969327121724	0.48335819535964325	1.2924754531752531	0.34976598967897615	0.22562315681348227	1.7773453379021174	0.5080140382531885	0.6265773665521673	2.066670516581705	1.2794043604816292	4.367296293884236	0.8291879240272503	0.2746833016698647	0.2618266648916865	0.5575955571151399	0.8857700728539845	0.08690287892852899	0.0579667312898419	1.6824331142524964	1.3529615196432088	0.32551695934634317	0.2117122480556938	0.8447860378633957	0.015310225085291642	1.0119402998842022	1.451244155804113	0.16254947141898565	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
55000	-1023.5897686509556	-1040.3487680411938	-16.758999390238195	1.0	-1040.3487680411938	0.03800925917629582	0.007666086957824699	1.3282372567260836	1.0575260629309298	0.08482393119423322	1.8224484990261967	0.21716969271061443	0.09289481804856836	2.3559390788526056	0.30659848991715494	0.25053066576109956	0.9729320635093419	0.07267894337504831	0.5124901141864724	0.17453194592943197	0.28871759754617277	0.23573446811071516	0.4437829913201347	0.7115108440798968	0.16223235128170685	0.8662219605249359	0.9800081146088849	1.7751978670655435	0.2727949581910941	0.21504516654906486	0.8011183771076412	0.04159132165773389	1.2385977326433293	0.9313528311058131	0.19222612464037567	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0
60000	-1030.019243994808	-1058.8078564327361	-28.788612437928187	1.0	-1058.8078564327361	0.0048561437836194595	0.007524328449345717	0.3594046584156442	1.8505956457126915	0.40412893502729214	0.4616636170535499	0.6342108026677764	1.0284075857646953	1.700935163445969	0.8297757001190265	0.3237749639788512	0.5560794409179607	0.018760771241202862	0.6611660495014213	2.0253386599737686	0.31028781823164436	0.3505053323989581	1.0279950929721864	1.6849752254398438	0.27064630932463435	0.13767076176756254	4.967067547836124	1.2840886189270726	0.2163044540662163	0.4667342308721232	0.2961952873762066	0.29422238796922895	3.919026891002822	3.220980367832714	1.4236788724337621	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
65000	-1017.7346839712142	-1049.6906103852025	-31.955926413988347	1.0	-1049.6906103852025	0.026675980389667682	0.007470054943854635	2.5598332717755863	1.2900221882455023	0.6373170304828474	1.907396379546472	0.2887811562070419	0.9613987264468921	2.1596963868086774	0.4098161845135334	2.843614627093661	1.2925722352096054	0.03510957024409604	0.1804000430204901	3.008025029541358	0.31455614600252135	0.2318875326881499	0.9282743850045755	1.0418684951180504	2.833861795944404	1.6386830115236979	0.5518901434150477	2.231058834394158	0.6281981339984625	0.6842048196362696	1.5024253675836738	0.17328884124259272	1.3389475510587385	0.32717499288172697	0.5948599373676509	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
70000	-1018.2447084685319	-1058.2453150023919	-40.000606533859894	1.0	-1058.2453150023919	0.7342891396316675	0.00818686110664694	0.24339283068020162	1.5763149970284496	0.997210566533242	0.7567229988260155	2.9847515528689885	0.3303745291908258	2.9250187165637955	0.48840861161527444	2.903460755206006	0.2677291114169078	4.613624011178371	0.7305759644624495	2.220697091626959	0.48773054255710774	0.5273347200205897	0.6437406775133176	1.3725555708011656	0.6158300593936881	0.38886633889116395	0.23909417159704255	0.6798652768552855	0.08928728243645631	0.5163530862966932	0.35447591809960377	0.7891030457611791	2.295528194094533	3.5502732024821335	0.2410801509845867	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	11.0
75000	-1016.3430347893209	-1044.1457105744475	-27.802675785126713	1.0	-1044.1457105744475	0.007425873239267138	0.008170101233377157	0.46712500621841685	1.0798205734814512	0.12655468395554506	2.4664578104875505	0.7016586785008238	0.23192522494590573	2.4507473974201868	0.4198777793378441	1.9392273589763804	0.16976259073001096	1.5073905742165694	0.8527057146082161	1.3392765736800307	0.30200017072385565	0.16323565761711456	0.5821799194930359	1.136255097600376	1.3106874611527297	0.7493471360210406	0.5806581823282527	5.076918874972864	0.0493840098368418	0.45654422205174344	1.426931865042256	0.713732895944178	1.5657756445337108	1.315664905800064	0.3676894442460316	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0
